"sample","run_id","strain","avg_coverage","prop_low_depth","ha_coverage_prop_low","na_coverage_prop_low","No_missing_seg","missing_seg"
"CHOI-005_N1_PJ6FV5","PJ6FV5","H1N1",25.9737728804298,0.380748565704399,0.421764705882353,0,1,"PA"
"CHOI-011_N0_PJ6FV5","PJ6FV5",NA,9.2821906354515,0.286789297658863,NA,0.913475177304965,6,"PB2, PB1, PA, HA, NP, NS"
"CHOI-013_N0_PJ6FV5","PJ6FV5","H1N1",180.295362826468,7.61440645701668e-05,0,0,0,""
"CHOI-021_N0_PJ6FV5","PJ6FV5",NA,27.6321332005123,0.162942934395902,0.924750146972369,NA,3,"PB1, NA, NS"
"CHOI-031_N0_PJ6FV5","PJ6FV5",NA,NA,NA,NA,NA,8,"All"
"CHOI-041_N0_PJ6FV5","PJ6FV5","H1N1",569.3232315541,0,0,0,0,""
